nro_transaccion,tipo,origen,destino,fecha,hora,monto
126,deposito,235-18-7173,372-93-0956,08/03/2018,7:03 PM,2734.81
127,transferencia,431-70-1248,899-34-2123,07/06/2019,9:19 AM,8022.12
128,deposito,720-26-7356,403-16-0217,11/15/2017,7:01 PM,5273.5
129,deposito,546-45-5574,298-89-1909,10/23/2018,10:36 AM,3801.48
130,extraccion,789-57-5829,686-97-6787,10/28/2017,6:25 PM,3214.55
131,extraccion,866-99-9745,512-18-3570,08/02/2018,10:23 AM,1964.13
132,transferencia,262-63-0560,858-24-0213,04/27/2017,4:55 PM,3805.49
133,deposito,365-12-1004,844-66-4709,09/14/2017,6:50 PM,3113.98
134,deposito,657-62-2223,626-85-2294,10/21/2017,11:48 AM,7802.05
135,extraccion,369-96-7267,264-63-1850,05/08/2018,6:28 AM,3012.41
136,deposito,166-67-2662,476-30-6547,11/23/2017,8:42 AM,8840.65
137,transferencia,452-65-9337,640-59-3580,05/16/2018,3:43 AM,1436.36
138,deposito,737-34-3410,197-29-5574,03/18/2017,6:21 PM,7343.15
139,transferencia,120-33-0314,485-39-8848,08/21/2018,1:13 PM,3038.97
140,extraccion,107-64-6764,754-51-8751,08/14/2017,7:32 PM,5032.13
141,deposito,460-17-2191,631-41-8658,04/19/2019,2:35 PM,7668.23
142,extraccion,864-86-7460,664-98-7618,02/24/2019,7:36 PM,5948.27
143,transferencia,157-88-2876,454-49-2112,08/16/2017,11:41 PM,8239.0
144,extraccion,665-66-6145,403-12-8587,05/26/2018,2:31 AM,4468.52
145,deposito,851-02-9733,305-66-6653,09/28/2019,4:59 PM,3858.29
146,transferencia,109-41-9125,279-04-6357,04/30/2019,11:57 PM,9544.84
147,deposito,416-65-7042,216-73-1781,09/19/2017,2:24 AM,2987.73
148,transferencia,714-65-0949,449-66-4512,09/23/2017,5:42 AM,5905.68
149,extraccion,550-46-9688,637-82-6183,10/16/2018,6:50 PM,2486.1
150,deposito,306-57-0315,627-44-8674,01/10/2019,6:20 AM,8975.32
151,extraccion,529-78-8164,372-14-4148,05/31/2018,9:33 PM,9213.36
152,extraccion,170-64-4370,431-45-4805,01/16/2019,2:38 PM,1518.66
153,extraccion,205-30-5392,607-93-3914,07/28/2018,5:07 AM,2196.59
154,extraccion,300-59-7799,772-87-8407,06/12/2019,7:43 PM,3603.95
155,extraccion,504-65-5856,288-03-3206,07/31/2018,12:52 AM,9683.3
156,transferencia,600-45-0287,440-99-9960,09/25/2017,4:13 AM,7695.35
157,deposito,597-73-7122,753-64-2883,07/23/2019,9:47 AM,7446.43
158,extraccion,102-38-1630,552-54-9127,09/23/2017,12:09 AM,6541.71
159,deposito,149-82-0596,397-81-0903,11/13/2018,2:41 AM,7824.73
160,extraccion,473-08-5825,413-88-5592,05/26/2019,9:40 PM,5520.31
161,deposito,221-86-8173,339-10-5707,07/13/2019,11:27 AM,9450.49
162,deposito,510-39-8121,341-98-5933,01/30/2019,4:51 PM,6274.38
163,deposito,510-93-3381,443-86-9953,03/29/2017,2:09 AM,5971.08
164,transferencia,707-42-7112,470-85-9584,03/10/2019,4:40 AM,5208.16
165,deposito,670-18-2818,193-54-6485,09/04/2017,9:11 AM,3608.18
166,transferencia,485-11-3668,200-02-6129,08/11/2017,9:58 PM,6838.6
167,deposito,649-18-2503,183-44-7515,09/24/2017,7:13 AM,1432.28
168,deposito,843-26-3768,115-18-7579,05/04/2019,8:19 PM,8803.59
169,deposito,171-94-3132,734-31-6373,02/25/2017,9:13 AM,2257.83
170,extraccion,769-90-9065,575-28-8145,11/30/2018,10:59 AM,9589.75
171,deposito,639-79-2368,674-20-6119,09/12/2018,3:03 PM,3021.49
172,extraccion,592-94-0375,377-76-9489,12/19/2017,10:02 PM,2684.42
173,transferencia,555-52-6114,624-57-3650,08/17/2017,9:51 AM,6060.59
174,extraccion,157-17-8398,296-86-1208,02/21/2018,5:12 PM,1402.53
175,transferencia,280-41-2572,783-06-5100,02/06/2018,9:37 PM,6614.43
176,extraccion,145-31-2986,582-86-9225,11/04/2017,7:31 PM,1333.55
177,extraccion,109-50-3225,449-89-4806,06/11/2019,2:00 PM,3577.99
178,extraccion,680-86-2293,220-73-9690,11/27/2018,3:04 AM,4216.19
179,transferencia,781-73-2406,625-96-3332,06/10/2017,4:06 PM,1732.05
180,deposito,160-83-2047,818-44-4939,10/20/2018,11:32 PM,4292.7
181,extraccion,253-77-5745,718-26-7518,03/02/2018,3:29 AM,1407.34
182,extraccion,640-32-5986,162-08-4573,03/27/2018,12:12 AM,5527.96
183,transferencia,273-90-1633,414-67-8213,04/23/2019,1:25 AM,6285.07
184,deposito,879-59-9108,302-22-8685,01/13/2019,9:53 PM,8643.03
185,extraccion,102-28-4627,195-05-1359,02/02/2018,4:37 PM,4428.26
186,deposito,141-16-5077,783-14-2760,04/12/2017,11:58 AM,4325.12
187,extraccion,899-22-8622,300-92-8497,07/17/2018,10:19 PM,6305.64
188,transferencia,173-22-7411,326-82-3541,01/10/2019,6:13 AM,6273.09
189,extraccion,870-81-2193,760-96-3125,01/29/2018,2:14 AM,1797.21
190,extraccion,688-50-5950,121-92-0482,03/31/2017,1:17 PM,6512.98
191,extraccion,427-83-2253,700-86-1587,09/17/2017,9:02 AM,3034.56
192,deposito,230-39-8594,462-33-4827,12/05/2017,4:22 AM,3964.65
193,deposito,472-86-9887,867-73-1542,09/09/2017,8:27 PM,5039.66
194,extraccion,292-80-2496,655-09-1019,01/03/2019,12:31 PM,3294.6
195,extraccion,318-17-1043,851-81-3168,04/26/2018,1:13 AM,4037.8
196,extraccion,208-28-3700,662-43-2850,09/27/2019,5:30 PM,3795.31
197,extraccion,331-72-7170,173-31-1957,10/05/2017,12:55 AM,1172.71
198,extraccion,246-44-1281,719-81-7707,05/21/2018,9:37 AM,2670.68
199,deposito,705-95-7070,260-62-9972,01/26/2017,11:11 PM,4183.72
200,extraccion,540-98-0578,857-18-6914,11/11/2017,5:12 AM,9696.23
201,transferencia,765-24-3313,751-90-4862,02/28/2017,8:25 PM,3215.01
202,extraccion,776-87-2089,722-27-3445,05/13/2017,10:21 PM,1044.42
203,transferencia,225-63-1346,842-15-2363,02/17/2017,7:05 PM,1849.09
204,extraccion,660-56-8055,795-40-1048,02/09/2018,5:37 PM,9585.26
205,transferencia,718-95-3507,661-56-2756,02/16/2017,3:29 PM,8744.83
206,transferencia,268-03-8095,852-33-5132,08/12/2017,11:38 PM,4986.5
207,deposito,214-44-7072,189-86-6030,09/12/2019,8:02 AM,8819.32
208,deposito,389-47-6811,382-34-8875,11/20/2017,10:05 PM,6798.51
209,extraccion,145-79-1095,845-02-5676,05/05/2017,11:16 PM,7007.59
210,transferencia,627-25-1723,789-84-1828,06/23/2017,5:57 PM,4437.48
211,deposito,209-81-7876,658-72-8178,03/06/2017,10:07 PM,2648.32
212,transferencia,614-62-4104,377-10-4089,12/21/2018,10:27 PM,4236.18
213,transferencia,793-89-9353,167-57-3504,09/01/2019,12:02 AM,9409.23
214,transferencia,417-75-7036,851-88-9552,03/18/2019,11:31 PM,6743.63
215,deposito,168-32-8070,432-85-6815,09/22/2017,12:52 AM,7324.04
216,extraccion,560-97-8403,170-29-1767,06/28/2018,6:40 AM,3096.53
217,extraccion,562-46-8296,619-86-7065,08/20/2019,2:27 PM,1661.29
218,deposito,388-17-9645,280-50-3325,02/17/2017,10:14 PM,2186.04
219,transferencia,285-73-1777,809-52-3761,09/16/2019,5:18 AM,9222.01
220,extraccion,685-25-4818,363-25-8743,05/15/2018,10:44 AM,9602.79
221,transferencia,802-76-3167,728-48-0377,07/12/2017,8:12 PM,3905.93
222,deposito,532-54-1811,719-08-6952,08/06/2019,2:39 PM,3550.52
223,deposito,225-05-1529,331-38-6343,05/18/2018,5:47 PM,9532.8
224,deposito,218-04-9368,468-53-6642,09/22/2019,1:39 AM,9534.12
225,extraccion,243-07-0263,895-46-9255,10/03/2017,5:36 PM,6711.1
226,extraccion,889-17-1498,343-12-5776,11/14/2017,1:01 AM,5760.6
227,deposito,607-10-0834,551-93-2824,11/30/2018,11:20 AM,5654.69
228,transferencia,257-02-2081,573-70-0883,01/23/2018,11:49 PM,7699.43
229,extraccion,330-21-3616,810-30-2118,04/11/2017,11:05 AM,8361.2
230,deposito,284-22-8906,550-67-3177,07/30/2019,8:39 PM,5192.34
231,extraccion,152-08-3639,390-64-3936,05/21/2018,1:29 AM,4106.58
232,deposito,126-78-6926,755-50-2055,02/04/2018,1:38 AM,8473.05
233,transferencia,455-83-5514,897-40-2530,10/25/2018,2:11 AM,7901.37
234,transferencia,847-19-2037,392-92-8878,05/26/2018,5:52 AM,9350.25
235,deposito,509-64-1387,685-56-7415,02/27/2019,5:04 PM,6081.74
236,transferencia,675-45-8263,651-10-7558,05/01/2019,6:32 PM,8756.48
237,extraccion,733-91-2867,825-29-6648,12/17/2017,7:04 PM,7352.46
238,transferencia,692-75-7205,634-30-5877,02/12/2018,2:51 AM,8464.22
239,deposito,835-55-5071,371-15-6972,05/27/2018,3:13 PM,1038.43
240,transferencia,428-29-9481,104-37-9372,03/31/2018,12:50 AM,2640.0
241,extraccion,531-71-5579,699-98-5016,07/02/2019,7:22 AM,6699.67
242,extraccion,176-41-5287,345-33-5485,06/19/2017,5:07 AM,7816.24
243,extraccion,874-36-4059,759-54-7381,08/10/2018,8:34 AM,2670.42
244,extraccion,148-91-1465,339-27-5228,01/26/2017,12:25 PM,2311.6
245,transferencia,375-88-7692,797-70-9406,05/13/2018,11:49 PM,3795.58
246,deposito,559-87-4979,107-08-1043,08/23/2018,9:58 PM,9072.2
247,extraccion,510-65-8958,335-11-3479,02/13/2017,12:32 AM,8246.78
248,transferencia,276-89-7123,491-65-0210,04/11/2018,12:47 AM,1563.23
249,deposito,123-83-3829,239-42-9822,07/23/2019,5:00 AM,2873.42
250,transferencia,816-54-0920,574-42-8109,11/30/2018,5:48 AM,1003.48
251,transferencia,365-44-2215,207-67-2628,10/26/2018,7:55 PM,8048.78
252,transferencia,467-75-6767,679-63-6133,04/30/2018,10:22 AM,4192.37
253,deposito,712-97-4345,273-84-1881,10/16/2018,4:07 PM,1504.8
254,deposito,186-64-2349,244-49-0128,01/30/2017,4:13 PM,7105.72
255,transferencia,315-71-0071,700-35-1540,10/17/2017,2:51 PM,7020.2
256,extraccion,300-17-2292,790-69-4783,10/05/2017,6:57 PM,4530.25
257,deposito,381-05-6463,261-76-5920,08/28/2019,4:20 AM,5446.04
258,transferencia,302-69-8654,200-27-8426,02/15/2017,3:31 PM,1356.58
259,transferencia,345-40-4739,371-83-2753,01/28/2018,8:37 AM,4195.14
260,transferencia,648-71-7941,851-54-7349,03/14/2017,8:10 PM,3835.69
261,extraccion,356-72-7791,598-08-3099,03/26/2019,8:13 AM,7529.08
262,extraccion,864-74-9918,285-61-4228,09/18/2017,12:28 AM,8536.41
263,deposito,253-36-5920,402-52-3970,05/31/2018,11:30 AM,1707.95
264,transferencia,886-25-5656,205-47-6596,02/04/2017,3:44 PM,3059.79
265,extraccion,206-40-2026,393-71-0032,03/12/2018,6:23 PM,4676.31
266,extraccion,744-43-2501,663-26-7704,10/26/2017,4:15 AM,7562.98
267,transferencia,409-36-4343,275-21-6446,10/12/2017,8:22 PM,9847.39
268,extraccion,384-57-3696,602-46-5020,07/18/2018,2:54 AM,6387.33
269,transferencia,614-61-0861,163-52-1740,08/18/2019,10:02 AM,8902.74
270,transferencia,282-27-1176,294-93-3589,12/08/2017,6:00 PM,7052.08
271,transferencia,300-68-2400,507-40-9256,07/27/2019,2:26 PM,2433.29
272,deposito,606-04-3472,581-95-4958,08/25/2019,9:55 PM,2062.37
273,extraccion,126-70-0759,110-62-5091,04/06/2017,3:08 PM,1504.59
274,extraccion,137-68-7860,655-19-9807,09/19/2019,6:31 PM,8589.87
275,deposito,263-54-9345,529-51-5613,08/19/2018,2:53 PM,4758.49
276,extraccion,835-45-1999,388-31-3614,05/02/2017,12:29 PM,5859.69
277,transferencia,788-73-3038,275-30-6070,11/17/2018,2:07 PM,5780.66
278,transferencia,566-17-2576,750-43-9610,09/30/2018,11:01 AM,9114.27
279,deposito,525-79-4282,332-20-2727,01/30/2018,2:28 PM,1395.47
280,deposito,215-32-5854,685-92-7544,01/28/2018,5:48 PM,6153.5
281,extraccion,587-89-9120,626-61-2956,05/18/2019,1:38 PM,6450.54
282,deposito,127-43-0142,352-03-8359,04/28/2018,5:00 AM,4060.79
283,transferencia,673-78-2683,523-19-3942,06/24/2018,2:12 PM,6631.2
284,extraccion,397-98-4587,485-51-3235,08/02/2017,7:19 AM,3981.8
285,transferencia,446-40-8405,790-06-2076,08/18/2018,1:32 PM,9890.86
286,transferencia,738-52-9758,704-81-9290,04/19/2017,7:42 PM,9296.52
287,transferencia,570-71-7710,742-76-1842,01/05/2018,10:23 AM,4814.21
288,extraccion,565-52-4519,202-92-6816,03/10/2019,4:21 PM,3347.12
289,extraccion,838-74-0779,623-27-6928,02/28/2019,8:29 AM,5562.51
290,deposito,362-15-7756,865-44-5041,11/13/2017,11:34 PM,2841.72
291,extraccion,177-06-7595,185-66-7341,09/20/2018,8:15 AM,1901.73
292,deposito,775-53-4528,426-85-8077,07/16/2018,9:31 PM,5053.71
293,extraccion,300-04-9437,432-02-8277,05/11/2017,10:45 AM,4926.61
294,deposito,537-48-2076,789-88-0955,04/04/2018,1:41 PM,8005.61
295,deposito,618-26-0905,336-04-6589,05/27/2017,10:31 AM,9444.0
296,deposito,831-90-6728,193-40-3604,09/16/2018,2:31 AM,1790.43
297,transferencia,653-93-7088,818-23-0244,08/31/2019,3:25 AM,5905.92
298,extraccion,602-01-2364,619-01-7299,05/02/2017,6:40 AM,9448.93
299,transferencia,594-72-0685,511-75-7733,03/09/2018,6:19 PM,9564.95
300,transferencia,836-77-7547,489-96-5437,03/05/2019,12:38 PM,4177.09
301,transferencia,417-49-1132,263-05-9342,03/20/2017,8:19 PM,4033.07
302,deposito,471-40-8469,898-12-2124,05/02/2018,10:34 AM,1480.56
303,transferencia,690-01-8526,722-34-1845,06/16/2018,12:09 AM,7105.64
304,transferencia,886-06-9669,456-89-7533,01/14/2019,12:10 PM,7009.34
305,deposito,480-94-4742,217-45-3349,11/19/2018,4:00 AM,1286.11
306,transferencia,694-49-7406,730-52-2336,07/17/2019,12:48 AM,5410.02
307,deposito,123-30-7084,797-28-6726,08/15/2017,4:09 AM,9985.6
308,extraccion,489-91-9668,422-24-7943,02/14/2018,3:10 AM,3827.06
309,deposito,735-86-3707,108-47-2857,03/24/2019,9:52 AM,4730.35
310,deposito,428-06-1765,235-40-8893,06/23/2017,7:25 AM,1029.45
311,extraccion,538-97-0174,221-43-3495,03/29/2017,7:21 AM,5615.61
312,transferencia,729-49-6021,682-67-3201,10/08/2017,10:02 AM,5203.38
313,transferencia,175-97-8034,162-98-8329,03/29/2017,6:18 PM,3215.81
314,deposito,827-97-1656,515-63-7147,04/25/2017,1:58 AM,5283.16
315,deposito,611-04-0894,317-57-0409,07/27/2018,7:27 AM,7658.72
316,extraccion,292-36-5894,572-08-9434,08/12/2017,5:18 AM,3862.63
317,transferencia,621-35-8060,863-28-9269,05/23/2019,10:48 PM,2586.85
318,transferencia,582-58-1143,356-64-7008,10/22/2018,2:00 AM,8024.43
319,deposito,882-51-0182,121-76-4170,08/19/2018,9:21 AM,4290.35
320,extraccion,571-40-2345,433-68-8991,02/05/2017,3:20 PM,3506.49
321,transferencia,106-46-7130,737-72-0665,12/20/2018,5:35 AM,8780.41
322,transferencia,301-11-8166,791-59-5527,06/12/2019,11:24 PM,8277.89
323,deposito,221-18-5726,430-91-5878,07/08/2018,10:59 AM,6339.04
324,transferencia,850-40-9285,163-17-8004,06/08/2018,12:58 AM,9063.34
325,deposito,108-75-4001,640-70-8802,04/03/2017,10:49 AM,6377.64
326,transferencia,359-99-9075,257-43-8361,03/19/2018,12:34 PM,9322.11
327,deposito,486-10-3317,387-52-5162,09/03/2019,6:09 PM,3215.42
328,transferencia,432-21-0204,108-70-2269,03/03/2018,1:52 AM,8743.04
329,transferencia,287-48-7781,493-56-9579,08/27/2019,2:12 AM,2579.11
330,transferencia,584-64-9926,138-75-2099,01/29/2018,11:24 AM,2857.55
331,transferencia,738-61-3368,255-33-9365,05/09/2018,10:57 PM,7958.77
332,deposito,244-86-1990,792-22-9728,04/19/2017,8:18 AM,8185.0
333,extraccion,419-65-7042,788-49-8947,05/31/2019,8:40 AM,2845.4
334,transferencia,731-37-7735,167-64-8511,04/15/2018,8:19 PM,8562.09
335,extraccion,589-01-2978,485-25-9105,07/01/2019,6:38 PM,9120.68
336,transferencia,729-42-7283,839-13-6368,06/19/2017,3:12 PM,2349.65
337,deposito,159-09-9830,547-93-3901,08/09/2019,5:40 AM,3243.52
338,deposito,594-64-0444,538-35-0947,07/02/2018,10:27 PM,9950.38
339,transferencia,528-56-3646,884-92-8739,12/22/2018,8:14 PM,4770.47
340,extraccion,687-70-9437,873-64-8725,04/16/2019,10:44 AM,5645.94
341,deposito,467-02-0302,190-91-1925,03/23/2019,9:06 PM,3431.09
342,transferencia,874-02-2514,871-11-3172,01/29/2017,9:18 AM,6553.04
343,extraccion,787-33-6699,799-95-8835,07/13/2017,9:37 AM,5814.51
344,transferencia,680-49-9251,749-09-2923,01/24/2018,9:29 PM,1189.22
345,extraccion,307-19-6977,605-92-9904,03/20/2018,5:27 PM,8143.99
346,extraccion,292-29-7331,237-93-7834,01/29/2017,3:04 AM,4724.6
347,transferencia,767-02-0239,888-58-6974,03/24/2019,5:46 AM,6598.66
348,deposito,362-10-9784,554-12-6781,05/16/2017,2:08 PM,5284.87
349,extraccion,209-24-5812,543-71-3853,08/31/2019,12:26 PM,9529.43
350,extraccion,184-49-8366,794-07-8725,03/20/2019,10:34 PM,5327.15
351,transferencia,401-49-0015,746-22-7138,04/06/2018,5:29 PM,7219.92
